period_date,outlet_id,therapist_count,therapist_working_count,scheduled_hours,booked_hours,productive_capacity_hours,idle_hours,break_hours,overtime_hours,split_shift_count,coverage_gap_count,burnout_exposure_count,avg_workload_density_ratio,avg_schedule_stability_score_0_100,utilization_on_roster_ratio,capacity_coverage_ratio,staffing_pressure_flag,capacity_strain_score_0_100,coverage_status
2017-01-01,MLT_OUTLET_001,2,2,331.0582,193.17000000000002,271.46770000000004,78.29769999999999,33.072900000000004,0.0,1,0,0,0.712177,83.3567,0.7115763680172632,1.405330537868199,0,35.23251292879411,over_buffered
2017-01-01,MLT_OUTLET_002,2,2,313.4529,158.18,257.0313,98.8513,31.3892,0.0,0,0,0,0.613552,91.45485,0.6154114304366822,1.6249291945884434,0,28.308925800087383,over_buffered
2017-01-01,MLT_OUTLET_003,2,2,320.729,158.67000000000002,262.9977,104.3277,30.2795,0.0,0,0,0,0.6035475,85.1833,0.6033132609144491,1.6575137076952164,0,27.75241000206466,over_buffered
2017-02-01,MLT_OUTLET_001,2,2,251.7471,168.95,206.43259999999998,37.4826,24.8794,0.0,0,1,1,0.824793,79.04335,0.8184269345054996,1.2218561704646345,1,40.71550098725298,over_buffered
2017-02-01,MLT_OUTLET_002,2,2,331.1671,172.76999999999998,271.557,98.787,33.6817,0.0,0,0,0,0.6366905,90.4697,0.6362200201062759,1.5717832957110611,0,29.26612092488869,over_buffered
2017-02-01,MLT_OUTLET_003,2,2,361.99670000000003,184.87,296.8373,111.9673,33.9705,0.0,0,0,0,0.6225054999999999,86.85875,0.622799088928514,1.6056542435224754,0,28.648758090711645,over_buffered
2017-03-01,MLT_OUTLET_001,2,2,309.7985,201.82,254.0348,52.2148,30.4821,0.0,0,0,0,0.7938345,84.68915,0.7944580821210322,1.2587196511743137,0,36.54507177756748,over_buffered
2017-03-01,MLT_OUTLET_002,2,2,340.8304,188.27999999999997,279.4809,91.20089999999999,34.9568,0.0,0,0,0,0.6744235000000001,85.1857,0.673677521433486,1.4843897386870621,0,30.989165985940357,over_buffered
2017-03-01,MLT_OUTLET_003,2,2,321.9827,180.89,264.0258,83.1358,30.3291,0.0,0,0,0,0.685304,84.81485,0.6851224387919664,1.4595931228923658,0,31.515632184430455,over_buffered
2017-04-01,MLT_OUTLET_001,2,2,249.71640000000002,164.92000000000002,204.7674,39.8474,24.459600000000002,0.0,0,0,0,0.806155,86.53865,0.8054016410815394,1.2416165413533833,0,37.048475489750814,over_buffered
2017-04-01,MLT_OUTLET_002,2,2,280.955,190.04,230.38299999999998,40.343,28.6893,0.0,0,0,0,0.8249735,88.74395000000001,0.8248872529657136,1.2122868869711638,0,37.94481363642283,over_buffered
2017-04-01,MLT_OUTLET_003,2,2,364.46410000000003,192.39999999999998,298.8606,106.4606,34.0201,0.0,2,0,0,0.6432555,76.59245,0.6437784037106262,1.553329521829522,0,35.567920570688806,over_buffered
2017-05-01,MLT_OUTLET_001,2,2,264.3452,179.57,216.76299999999998,37.193,26.530099999999997,0.0,0,0,0,0.8281295,88.14359999999999,0.8284162887577677,1.207122570585287,0,38.107149282857314,over_buffered
2017-05-01,MLT_OUTLET_002,2,2,276.457,190.49,226.6948,36.2048,27.862000000000002,0.0,0,1,1,0.85147,81.2536,0.8402927636628631,1.1900614205470101,1,41.4534671284917,over_buffered
2017-05-01,MLT_OUTLET_003,2,2,258.4421,162.06,211.9225,49.8625,23.6427,0.0,0,0,0,0.764358,86.5584,0.764713515554035,1.3076792545970628,0,35.17682171548561,over_buffered
2017-06-01,MLT_OUTLET_001,2,2,274.0179,190.73000000000002,224.6947,33.9647,27.2071,0.0,0,0,0,0.853964,92.88895,0.8488406713643001,1.1780773868819796,0,39.0466708827578,over_buffered
2017-06-01,MLT_OUTLET_002,2,2,258.6594,180.23,212.10070000000002,31.8707,26.3658,5.7652,0,1,1,0.8466865,76.34309999999999,0.8497378839390911,1.1768334905398659,1,48.10055466119819,over_buffered
2017-06-01,MLT_OUTLET_003,2,2,204.1141,147.2,167.3736,20.1736,18.8152,4.7858,0,1,1,0.8799925,78.60034999999999,0.8794696415683236,1.1370489130434784,1,47.954725512142886,balanced
2017-07-01,MLT_OUTLET_001,2,2,222.1855,177.16,182.1921,12.255,22.1723,7.0565,1,1,1,0.973029,68.693,0.9723802513939956,1.0284042673289682,1,59.546301564123794,tight_covered
2017-07-01,MLT_OUTLET_002,2,2,238.62529999999998,178.57999999999998,195.67270000000002,17.0927,24.1557,2.9202,1,1,1,0.919331,73.36805,0.9126464754664292,1.0957145257027665,1,51.76686387145574,balanced
2017-07-01,MLT_OUTLET_003,2,2,241.8716,192.89999999999998,198.3347,5.434699999999999,21.839399999999998,10.3808,0,2,2,0.9724714999999999,64.3659,0.9725983400786649,1.0281736651114568,1,64.05979164361858,tight_covered
2017-08-01,MLT_OUTLET_001,2,2,236.5531,183.26,193.9735,10.7135,23.3799,0.0,0,1,1,0.9465975,80.8681,0.9447682286497897,1.0584606569900687,1,46.25933851789032,balanced
2017-08-01,MLT_OUTLET_002,2,2,250.209,177.95,205.1714,27.2214,25.6781,0.0,0,0,0,0.8676984999999999,91.7342,0.867323613330123,1.1529721831975275,0,39.89688621318566,over_buffered
