outlet_key,outlet_name,month_id,external_demand_context_score_0_100,external_signal_confidence_score_0_100,staffing_readiness_score_0_100,coverage_pressure_score_0_100,burnout_exposure_score_0_100,capacity_expansion_readiness_score_0_100,demand_support_vs_staffing_readiness_gap,external_internal_alignment_score_0_100,growth_window_vs_control_window,roster_action_posture,management_signal_score_0_100_final,roster_operational_health_score_0_100_final,capacity_strain_score_0_100_final,burnout_risk_score_0_100_final,executive_staffing_confidence_score_0_100,executive_action_confidence_band,executive_staffing_posture,staffing_risk_headline,executive_staffing_action_summary,management_signal,recommended_manager_action,revenue_growth_readiness_flag,leakage_control_flag,qa_status,audit_note,status
MLT_OUTLET_001,Valletta,2017-01,31.653118516332118,,77.55,35.23251292879411,27.00430188235294,61.18,-45.9,89.9,growth_window,expand_selectively,75.20446747072276,91.256944,35.23251292879411,27.00430188235294,76.54,high_confidence,selective_growth_supported,Staffing may be ahead of current demand support.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,1,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-02,37.097945263030894,,71.16,40.71550098725298,35.25502545098039,58.2,-34.06,87.74,hold_and_optimize,maintain_capacity_optimize_controls,61.39544286863904,87.94453866666666,40.71550098725298,35.25502545098039,69.64,moderate_confidence,hold_capacity_optimize_controls,Staffing may be ahead of current demand support.,"Hold capacity steady and optimize utilization, control discipline, and staffing mix.",protect_team_stability,"rebalance workload, recovery gaps, and coaching cadence",0,1,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-03,46.49504000528568,,78.1,36.54507177756748,28.51576082352941,65.43,-31.6,98.36,growth_window,expand_selectively,75.07234939428953,95.100528,36.54507177756748,28.51576082352941,76.83,high_confidence,selective_growth_supported,Staffing may be ahead of current demand support.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-04,58.4052753402119,,78.4,37.048475489750814,27.58371494117647,69.19,-19.99,86.67,growth_window,expand_selectively,74.46496096631893,95.692368,37.048475489750814,27.58371494117647,77.09,high_confidence,selective_growth_supported,Staffing may be ahead of current demand support.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-05,60.219212160515234,,77.54,38.107149282857314,27.908168,69.18,-17.32,86.01,growth_window,expand_selectively,75.06122345334447,94.082752,38.107149282857314,27.908168,76.34,high_confidence,selective_growth_supported,Staffing may be ahead of current demand support.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-06,64.25378166830768,,77.72,39.0466708827578,28.94659658823529,70.17,-13.47,83.23,growth_window,expand_selectively,74.93530973094227,96.215664,39.0466708827578,28.94659658823529,76.37,high_confidence,selective_growth_supported,Staffing position is broadly manageable with monitoring.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-07,79.0044246039868,,59.66,59.546301564123794,47.218718431372544,61.55,19.34,86.27,supported_but_not_roster_ready,stabilize_roster_before_expansion,61.725234172809685,78.680135,59.546301564123794,47.218718431372544,58.46,moderate_confidence,demand_supported_but_roster_not_ready,Demand context is ahead of staffing readiness.,"Use demand support as a watch signal, but hold fixed expansion until roster readiness improves.",protect_team_stability,"rebalance workload, recovery gaps, and coaching cadence",0,1,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-08,79.90938215694597,,69.34,46.25933851789032,39.90204368627451,68.78,10.57,76.5,growth_window,expand_selectively,61.83589323055827,90.54445866666669,46.25933851789032,39.90204368627451,67.58,moderate_confidence,selective_growth_supported,Demand context is ahead of staffing readiness.,Use selective capacity growth in supported periods while protecting service quality.,protect_team_stability,"rebalance workload, recovery gaps, and coaching cadence",0,1,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-09,67.97652467860398,,76.25,39.92436800663074,31.682324823529413,70.15,-8.27,81.19,growth_window,expand_selectively,72.83761449793968,95.569424,39.92436800663074,31.682324823529413,74.79,high_confidence,selective_growth_supported,Staffing position is broadly manageable with monitoring.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
MLT_OUTLET_001,Valletta,2017-10,66.71420907600394,,77.17,37.43223708896856,29.014869294117645,70.92,-10.46,77.82,growth_window,expand_selectively,74.60932107338812,93.640976,37.43223708896856,29.014869294117645,75.96,high_confidence,selective_growth_supported,Staffing position is broadly manageable with monitoring.,Use selective capacity growth in supported periods while protecting service quality.,stable_controlled_growth,maintain balanced commercial and operational control,1,0,pending_qa,management signal rebuilt with roster-aware month-key tolerant joins,scaffold_generated
