outlet_key,month_id,external_context_regime,growth_window_vs_control_window,roster_action_posture,external_demand_context_score_0_100,external_signal_confidence_score_0_100,external_internal_alignment_score_0_100,coverage_pressure_score_0_100,burnout_exposure_score_0_100,staffing_readiness_score_0_100,capacity_expansion_readiness_score_0_100,roster_risk_flag,recommended_roster_action,recommended_coverage_mode,recommended_capacity_posture,roster_decision_priority_score_0_100,roster_decision_priority_band,managerial_roster_reason
MLT_OUTLET_001,2017-01,soft,growth_window,expand_selectively,31.653118516332118,,89.9,35.23251292879411,27.00430188235294,77.55,61.18,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,30.973486665495834,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is soft; external regime reads as soft; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-02,neutral,hold_and_optimize,maintain_capacity_optimize_controls,37.097945263030894,,87.74,40.71550098725298,35.25502545098039,71.16,58.2,normal_watch,hold_capacity_optimize_controls,maintain_current_coverage,hold_capacity_optimize_mix,36.32269434025285,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is soft; external regime reads as neutral; monthly management context reads as hold_and_optimize; recommended action: hold_capacity_optimize_controls
MLT_OUTLET_001,2017-03,neutral,growth_window,expand_selectively,46.49504000528568,,98.36,36.54507177756748,28.51576082352941,78.1,65.43,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,33.36367452127651,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-04,neutral,growth_window,expand_selectively,58.4052753402119,,86.67,37.048475489750814,27.58371494117647,78.4,69.19,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,35.63549315422784,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-05,neutral,growth_window,expand_selectively,60.219212160515234,,86.01,38.107149282857314,27.908168,77.54,69.18,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,36.43840588867451,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-06,neutral,growth_window,expand_selectively,64.25378166830768,,83.23,39.0466708827578,28.94659658823529,77.72,70.17,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,37.60440982786015,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-07,supportive,supported_but_not_roster_ready,stabilize_roster_before_expansion,79.0044246039868,,86.27,59.546301564123794,47.218718431372544,59.66,61.55,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,52.15888891989663,low,burnout exposure is manageable; coverage pressure is still within manageable range; external demand context is supportive; external regime reads as supportive; monthly management context reads as supported_but_not_roster_ready; recommended action: maintain_capacity
MLT_OUTLET_001,2017-08,supportive,growth_window,expand_selectively,79.90938215694597,,76.5,46.25933851789032,39.90204368627451,69.34,68.78,normal_watch,selective_capacity_increase,selective_flexible_support,selective_capacity_increase,46.17115287222216,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as supportive; monthly management context reads as growth_window; recommended action: selective_capacity_increase
MLT_OUTLET_001,2017-09,supportive,growth_window,expand_selectively,67.97652467860398,,81.19,39.92436800663074,31.682324823529413,76.25,70.15,normal_watch,selective_capacity_increase,selective_flexible_support,selective_capacity_increase,39.39714350175283,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as supportive; monthly management context reads as growth_window; recommended action: selective_capacity_increase
MLT_OUTLET_001,2017-10,neutral,growth_window,expand_selectively,66.71420907600394,,77.82,37.43223708896856,29.014869294117645,77.17,70.92,normal_watch,selective_capacity_increase,selective_flexible_support,selective_capacity_increase,38.02776309181803,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: selective_capacity_increase
MLT_OUTLET_001,2017-11,neutral,growth_window,expand_selectively,48.18645816950233,,95.16,36.29998235353877,28.95516223529412,76.14,65.12,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,34.241320551667044,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2017-12,neutral,hold_and_optimize,maintain_capacity_optimize_controls,38.04886526610464,,77.53,53.784601927907765,41.99043305882353,63.27,52.36,normal_watch,hold_capacity_optimize_controls,maintain_current_coverage,hold_capacity_optimize_mix,43.043780050567186,low,burnout exposure is manageable; coverage pressure is still within manageable range; external demand context is soft; external regime reads as neutral; monthly management context reads as hold_and_optimize; recommended action: hold_capacity_optimize_controls
MLT_OUTLET_001,2018-01,neutral,growth_window,expand_selectively,35.57888628674392,,91.94,36.71822348517209,28.41638988235294,77.1,61.74,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,32.21969993085379,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is soft; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2018-02,neutral,growth_window,expand_selectively,40.89616723437474,,99.5,33.10253328210147,28.372676705882355,77.13,63.9,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,31.844775444471715,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is soft; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2018-03,neutral,growth_window,expand_selectively,53.73707036779296,,93.52,39.83298352144352,30.137392352941177,75.97,66.01,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,36.268489248435536,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2018-04,neutral,growth_window,expand_selectively,61.18815806199329,,85.5,37.57590077815821,31.194737647058822,76.31,68.56,normal_watch,maintain_capacity,maintain_current_coverage,maintain_capacity,37.48625929744206,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external regime reads as neutral; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2018-05,supportive,growth_window,expand_selectively,68.36426103511747,,79.44,38.73120628274606,31.063163647058825,77.38,70.99,normal_watch,selective_capacity_increase,selective_flexible_support,selective_capacity_increase,38.904226192984474,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as supportive; monthly management context reads as growth_window; recommended action: selective_capacity_increase
MLT_OUTLET_001,2018-06,supportive,growth_window,expand_selectively,69.41457483656399,,88.07,49.77555621509747,41.96514196078432,65.67,63.33,normal_watch,maintain_capacity,selective_flexible_support,maintain_capacity,45.97755460248916,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as supportive; monthly management context reads as growth_window; recommended action: maintain_capacity
MLT_OUTLET_001,2018-07,supportive,growth_window,expand_selectively,81.47461903233243,,76.23,49.844576763634464,38.42239945098039,68.21,68.49,normal_watch,selective_capacity_increase,selective_flexible_support,selective_capacity_increase,47.13181904938946,low,burnout exposure is manageable; coverage pressure is still within manageable range; staffing readiness is supportive; external demand context is supportive; external regime reads as supportive; monthly management context reads as growth_window; recommended action: selective_capacity_increase
