month_id,outlet_id,therapist_count,scheduled_hours,booked_hours,productive_capacity_hours,idle_hours,break_hours,recovery_gap_hours,overtime_hours,coverage_gap_days,burnout_exposure_days,worked_days,avg_schedule_stability_score_0_100,avg_workload_density_ratio,avg_external_demand_proxy_index,avg_burnout_risk_score_0_100,productive_utilization_ratio,idle_hour_ratio,overtime_hour_ratio,coverage_gap_day_ratio,burnout_exposure_day_ratio,capacity_strain_score_0_100,roster_operational_health_score_0_100,roster_management_signal
2017-01,MLT_OUTLET_001,2,331.0582,193.17000000000002,271.46770000000004,78.29769999999999,33.072900000000004,1.3916,0.0,0,0,2,83.3567,0.712177,88.3,27.00430188235294,0.7115763680172632,0.2365073573166289,0.0,0.0,0.0,19.157825292772472,93.34268,stable_controlled
2017-01,MLT_OUTLET_002,2,313.4529,158.18,257.0313,98.8513,31.3892,1.7443,0.0,0,0,2,91.45485,0.613552,88.3,23.461935647058823,0.6154114304366822,0.31536253134043424,0.0,0.0,0.0,16.5687692809876,96.58193999999999,stable_controlled
2017-01,MLT_OUTLET_003,2,320.729,158.67000000000002,262.9977,104.3277,30.2795,1.8096999999999999,0.0,0,0,2,85.1833,0.6035475,88.3,23.604121647058825,0.6033132609144491,0.32528302710387896,0.0,0.0,0.0,16.243049332312093,94.07332000000001,stable_controlled
2017-02,MLT_OUTLET_001,2,251.7471,168.95,206.43259999999998,37.4826,24.8794,1.248,0.0,1,1,2,79.04335,0.824793,90.2,35.25502545098039,0.8184269345054996,0.1488898978379493,0.0,0.5,0.5,44.534571313609604,71.61734,stable_controlled
2017-02,MLT_OUTLET_002,2,331.1671,172.76999999999998,271.557,98.787,33.6817,1.8081,0.0,0,0,2,90.4697,0.6366905,90.2,24.74958894117647,0.6362200201062759,0.29829955934632396,0.0,0.0,0.0,17.12900054132281,96.18788,stable_controlled
2017-02,MLT_OUTLET_003,2,361.99670000000003,184.87,296.8373,111.9673,33.9705,1.4702000000000002,0.0,0,0,2,86.85875,0.6225054999999999,90.2,28.099138235294113,0.622799088928514,0.30930475333062424,0.0,0.0,0.0,16.767667778844608,94.7435,stable_controlled
2017-03,MLT_OUTLET_001,2,309.7985,201.82,254.0348,52.2148,30.4821,1.6293,0.0,0,0,2,84.68915,0.7938345,94.1,28.515760823529412,0.7944580821210322,0.16854439256484458,0.0,0.0,0.0,21.389256057104713,93.87566000000001,stable_controlled
2017-03,MLT_OUTLET_002,2,340.8304,188.27999999999997,279.4809,91.20089999999999,34.9568,1.2059,0.0,0,0,2,85.1857,0.6744235000000001,94.1,25.896504235294117,0.673677521433486,0.2675844056164004,0.0,0.0,0.0,18.137471730901545,94.07428,stable_controlled
2017-03,MLT_OUTLET_003,2,321.9827,180.89,264.0258,83.1358,30.3291,1.4968,0.0,0,0,2,84.81485,0.685304,94.1,26.947018000000003,0.6851224387919664,0.2581995864995231,0.0,0.0,0.0,18.445604121322173,93.92594,stable_controlled
2017-04,MLT_OUTLET_001,2,249.71640000000002,164.92000000000002,204.7674,39.8474,24.459600000000002,1.6345,0.0,0,0,2,86.53865,0.806155,96.0,27.58371494117647,0.8054016410815394,0.1595706169078202,0.0,0.0,0.0,21.683890336810677,94.61546,stable_controlled
