year,month,month_id,unemployment_rate_percent,source_dataset,source_geo,source_scope
2017,1,2017-01,4.166666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,2,2017-02,4.1,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,3,2017-03,4.033333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,4,2017-04,3.966666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,5,2017-05,3.9,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,6,2017-06,3.8666666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,7,2017-07,3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,8,2017-08,4.0,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,9,2017-09,4.066666666666666,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,10,2017-10,3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,11,2017-11,3.966666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2017,12,2017-12,4.1,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,1,2018-01,4.166666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,2,2018-02,4.366666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,3,2018-03,4.433333333333334,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,4,2018-04,4.2,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,5,2018-05,4.033333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,6,2018-06,3.9,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,7,2018-07,3.766666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,8,2018-08,3.6,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,9,2018-09,3.6666666666666665,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,10,2018-10,3.7000000000000006,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,11,2018-11,3.8666666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2018,12,2018-12,3.9,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,1,2019-01,4.1000000000000005,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,2,2019-02,4.266666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,3,2019-03,4.166666666666667,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,4,2019-04,4.033333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,5,2019-05,3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,6,2019-06,3.933333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,7,2019-07,4.1000000000000005,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,8,2019-08,4.2,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,9,2019-09,4.233333333333333,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,10,2019-10,4.1,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,11,2019-11,4.066666666666666,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2019,12,2019-12,3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2020,1,2020-01,3.9333333333333336,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
2020,2,2020-02,3.8000000000000003,une_rt_m,MT,"Eurostat monthly unemployment rate proxy, Malta"
