pos_display_id,variable_block_id,sheet_family,sheet_stage,is_live_pos_price,pricing_master_vat_id,pricing_master_id,treatment_category,treatment_variant,session_duration_min,pricing_position,price_architecture_flag,launch_recommendation_flag,execution_priority,pos_label,sell_price_ex_vat_eur,vat_rate,vat_amount_eur,sell_price_inc_vat_eur,display_price_inc_vat_eur,display_price_ex_vat_equivalent_eur,display_rounding_method,display_price_rule,display_status,market_check_status,market_price_median_eur,gap_vs_market_median_eur,gap_vs_market_median_pct,display_note,pricing_summary_note,decision_adjustment_note,formula_role,formula_placeholder,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
TPOS_001,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_001,FTPM_001,aromatherapy,standard,60,premium_core,premium_core,launch_with_upside_room,high,premium_signature,64.0,0.18,11.52,75.52,75.52,64.0,standard_exact_display,standard_round_display_allowed,ready_for_display,below_market_median,76.0,-12.0,-15.79,Display price 75.52 EUR inc-VAT; premium signature role; launch flag = launch_with_upside_room.,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_002,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_002,FTPM_002,body_treatment,standard,60,premium_core,premium_core,launch,medium,premium_signature,69.0,0.18,12.42,81.42,81.42,69.0,standard_exact_display,standard_round_display_allowed,ready_for_display,below_market_median,77.5,-8.5,-10.97,Display price 81.42 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 69.00 EUR vs floor 63.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_003,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_003,FTPM_003,deep_tissue,standard,60,premium_core,premium_core,launch,medium,premium_signature,78.0,0.18,14.04,92.04,92.04,78.0,standard_exact_display,standard_round_display_allowed,ready_for_display,in_line_with_market_median,80.0,-2.0,-2.5,Display price 92.04 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 78.00 EUR vs floor 71.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_004,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_004,FTPM_004,facial,basic,60,premium_core,premium_core,launch,medium,premium_signature,94.0,0.18,16.92,110.92,110.92,94.0,standard_exact_display,standard_round_display_allowed,ready_for_display,in_line_with_market_median,100.0,-6.0,-6.0,Display price 110.92 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 94.00 EUR vs floor 84.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_005,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_005,FTPM_005,hot_stone,standard,75,premium_core,premium_core,launch,medium,premium_signature,95.0,0.18,17.1,112.1,112.1,95.0,standard_exact_display,standard_round_display_allowed,ready_for_display,in_line_with_market_median,90.0,5.0,5.56,Display price 112.10 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 95.00 EUR vs floor 86.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_006,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_006,FTPM_006,massage,standard,60,accessible_premium,accessible_premium,launch_with_upside_room,high,core_value,58.0,0.18,10.44,68.44,68.44,58.0,standard_exact_display,standard_round_display_allowed,ready_for_display,below_market_median,85.0,-27.0,-31.76,Display price 68.44 EUR inc-VAT; accessible premium role; launch flag = launch_with_upside_room.,Recommended sell price 58.00 EUR vs floor 56.00 EUR; priced below market median; accessible premium role.,recommended sell price sits below market median; may support penetration or accessibility strategy,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_007,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_007,FTPM_007,reflexology,standard,45,traffic_builder,traffic_builder,launch_as_entry_price,high,entry_offer,34.0,0.18,6.12,40.12,40.99,34.74,ceil_to_xx_99,psychological_price_preferred,ready_for_display,below_market_median,75.0,-41.0,-54.67,Display price 40.99 EUR inc-VAT; entry traffic role; launch flag = launch_as_entry_price.,Recommended sell price 34.00 EUR vs floor 32.00 EUR; priced below market median; traffic-oriented entry role.,recommended sell price sits below market median; may support penetration or accessibility strategy,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_008,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_008,FTPM_008,scrub,standard,45,premium_core,premium_core,launch,medium,premium_signature,52.0,0.18,9.36,61.36,61.36,52.0,standard_exact_display,standard_round_display_allowed,ready_for_display,in_line_with_market_median,50.0,2.0,4.0,Display price 61.36 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 52.00 EUR vs floor 47.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_009,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_009,FTPM_009,swedish,standard,60,premium_core,premium_core,launch,medium,premium_signature,64.0,0.18,11.52,75.52,75.52,64.0,standard_exact_display,standard_round_display_allowed,ready_for_display,in_line_with_market_median,69.5,-5.5,-7.91,Display price 75.52 EUR inc-VAT; premium signature role; launch flag = launch.,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
TPOS_010,V2BL_013,treatment_pos_display_price,policy_first_placeholder,no,FTPMVAT_010,FTPM_010,wrap,standard,60,premium_core,premium_edge,review_before_launch,medium,premium_signature,82.0,0.18,14.76,96.76,96.76,82.0,manual_review_hold,manual_review_before_display,hold_for_review,above_market_median,72.0,10.0,13.89,Display price 96.76 EUR inc-VAT; premium signature role; launch flag = review_before_launch.,Recommended sell price 82.00 EUR vs floor 73.00 EUR; priced above market median; premium core role.,recommended sell price sits above market median; validate brand strength and service differentiation before launch,pos_display_conversion,display_price derived from sell_price_inc_vat subject to display_rule,final_treatment_pricing_master_with_vat.csv,retail_display_price_after_output_vat_layer,live_pos_sync_channel_discount_coupon_bundle_member_price_rule,medium_low,needs_retail_ops_signoff,pricing_research,Malta,EUR,2026-01-01,,POS display sheet separates analytical price from customer-facing display price and rounding logic,assumption_defined
